channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs,start,income,stream_time_h/m
NikNocturnal,123,https://static-cdn.jtvnw.net/jtv_user_pictures/02527de8-5321-4dcb-acb1-b360cf3e7a1b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,4883610,8085,12376,604,68238,TRUE,FALSE,English,https://www.twitch.tv/NikNocturnal/about,182,"Aug 11, 2017",455,44.92
Lost_In_House,124,https://static-cdn.jtvnw.net/jtv_user_pictures/lost_in_house-profile_image-4bfa42abd9d1b1e5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4851015,18120,494,268,52725,TRUE,TRUE,English,https://www.twitch.tv/Lost_In_House/about,452,"Jun 24, 2014",1130,100.67
julienneby,126,https://static-cdn.jtvnw.net/jtv_user_pictures/8f8dad38-cc12-431d-862f-1db5dd70d4e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4803360,6315,1458,761,72749,TRUE,TRUE,English,https://www.twitch.tv/julienneby/about,4600,"Jun 4, 2019",11500,35.08
RestrictedEntertainment,128,https://static-cdn.jtvnw.net/jtv_user_pictures/f6cd0b48-c948-4ebe-b048-5e786763df9e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4670190,15465,562,302,14834,TRUE,FALSE,English,https://www.twitch.tv/RestrictedEntertainment/about,916,"Apr 4, 2020",2290,85.92
gabrielanddresden,129,https://static-cdn.jtvnw.net/jtv_user_pictures/670bc4b8-c893-4370-bd28-fe026a573d58-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4658880,8970,1207,519,45687,TRUE,FALSE,English,https://www.twitch.tv/gabrielanddresden/about,833,"Mar 19, 2020",2082.5,49.83
thisEguy,133,https://static-cdn.jtvnw.net/jtv_user_pictures/thiseguy-profile_image-a0e2e7aff6ed932a-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,4573290,6240,2604,733,136991,TRUE,TRUE,German,https://www.twitch.tv/thisEguy/about,190,"Jul 16, 2014",475,34.67
Chainbrain,134,https://static-cdn.jtvnw.net/jtv_user_pictures/0458c7e0-e744-4617-a854-3c66d1c54d0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4566885,21495,578,212,51528,TRUE,FALSE,English,https://www.twitch.tv/Chainbrain/about,942,"Dec 16, 2012",2355,119.42
DJQueTheMixologist,135,https://static-cdn.jtvnw.net/jtv_user_pictures/b4238e15-ccaa-4162-bade-379b2ebedc55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4564350,31620,484,144,12209,TRUE,TRUE,English,https://www.twitch.tv/DJQueTheMixologist/about,456,"Jun 26, 2020",1140,175.67
MaxWillowMusic,136,https://static-cdn.jtvnw.net/jtv_user_pictures/ba1d0d63-1250-4e9e-bb31-7d99092ec9ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4553040,7980,10754,571,3999,FALSE,FALSE,English,https://www.twitch.tv/MaxWillowMusic/about,52,"Jun 18, 2020",130,44.33
Thinkerbella,137,https://static-cdn.jtvnw.net/jtv_user_pictures/518fe1c4-c7c9-4c85-8721-453102608f5b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4552275,14295,1442,318,14643,TRUE,FALSE,English,https://www.twitch.tv/Thinkerbella/about,272,"Aug 17, 2020",680,79.42
djflippp,141,https://static-cdn.jtvnw.net/jtv_user_pictures/5e3c52bc-2290-4a03-856a-86ceaa89a0fc-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,4423500,14265,1471,310,10598,FALSE,TRUE,English,https://www.twitch.tv/djflippp/about,296,"May 21, 2018",740,79.25
RiskyBiscuitBand,142,https://static-cdn.jtvnw.net/jtv_user_pictures/29858dd7-6bd1-4439-9d5a-276f22aa377a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4356135,10320,5627,422,11672,TRUE,FALSE,English,https://www.twitch.tv/RiskyBiscuitBand/about,506,"Apr 12, 2020",1265,57.33
philsmythmusic,145,https://static-cdn.jtvnw.net/jtv_user_pictures/6f6a3368-e2ab-4775-8c02-ce289491e0fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4236915,8025,16744,528,2901,FALSE,FALSE,English,https://www.twitch.tv/philsmythmusic/about,47,"Jul 14, 2020",117.5,44.58
Whistleface,146,https://static-cdn.jtvnw.net/jtv_user_pictures/f8d4c2c4-a978-4e2a-b832-b3182a44a505-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4218330,12420,762,340,27964,TRUE,FALSE,English,https://www.twitch.tv/Whistleface/about,1000,"Feb 4, 2016",2500,69.00
DJMikeMorino,147,https://static-cdn.jtvnw.net/jtv_user_pictures/6d5feca4-2f53-46c4-acf8-c0cf27049aa4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4206165,21870,744,192,19846,TRUE,TRUE,German,https://www.twitch.tv/DJMikeMorino/about,1154,"May 20, 2019",2885,121.50
sabyspark,148,https://static-cdn.jtvnw.net/jtv_user_pictures/59cbacb4-f3ee-4f0a-b313-d886f5262b81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4178070,9660,3610,433,10973,TRUE,FALSE,English,https://www.twitch.tv/sabyspark/about,228,"Nov 23, 2019",570,53.67
daniel_dekay,150,https://static-cdn.jtvnw.net/jtv_user_pictures/3e713861-97c2-449b-bd1a-6f5598889f88-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4164660,11415,14125,365,18789,TRUE,TRUE,English,https://www.twitch.tv/daniel_dekay/about,457,"Apr 11, 2020",1142.5,63.42
CarlBrindle,154,https://static-cdn.jtvnw.net/jtv_user_pictures/749eb4b2-7e0d-4911-a8d7-ec9d2ef40408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4133745,11175,1134,370,11291,FALSE,FALSE,French,https://www.twitch.tv/CarlBrindle/about,65,"Jan 10, 2019",162.5,62.08
djsebimusic,155,https://static-cdn.jtvnw.net/jtv_user_pictures/78272a35-b361-4cde-9ee5-f3144597eeb7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4117785,20070,510,205,21524,TRUE,TRUE,German,https://www.twitch.tv/djsebimusic/about,608,"Feb 26, 2016",1520,111.50
datsunnmusic,156,https://static-cdn.jtvnw.net/jtv_user_pictures/6586ab90-3a94-4a81-aec5-d9befa46d124-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4044030,10455,16176,387,13326,TRUE,FALSE,English,https://www.twitch.tv/datsunnmusic/about,71,"Aug 27, 2018",177.5,58.08
BeesustheDJ,157,https://static-cdn.jtvnw.net/jtv_user_pictures/cbca3490-64b6-49a8-96d8-d4c6e0841230-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4029570,31815,769,127,12056,TRUE,FALSE,English,https://www.twitch.tv/BeesustheDJ/about,252,"Apr 8, 2020",630,176.75
sunfyretv,160,https://static-cdn.jtvnw.net/jtv_user_pictures/31779281-fbcc-43b8-ae6f-d7e0c09486a1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3983130,9090,3394,438,42928,TRUE,TRUE,English,https://www.twitch.tv/sunfyretv/about,10,"May 13, 2016",25,50.50
lara6683,161,https://static-cdn.jtvnw.net/jtv_user_pictures/lara6683-profile_image-4aa7e08e70c72924-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,3979590,7065,3634,563,264386,TRUE,FALSE,English,https://www.twitch.tv/lara6683/about,5400,"Jan 19, 2015",13500,39.25
TurtlesAndChill,163,https://static-cdn.jtvnw.net/jtv_user_pictures/a413e921-e0fe-46c5-80ec-672c61100ed6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3953415,37440,701,106,33331,TRUE,FALSE,English,https://www.twitch.tv/TurtlesAndChill/about,102,"Nov 22, 2017",255,208.00
livharris,164,https://static-cdn.jtvnw.net/jtv_user_pictures/51b45acf-48fd-4b58-a4a9-8383e0961568-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,3945480,7860,2199,502,45503,TRUE,FALSE,English,https://www.twitch.tv/livharris/about,3400,"Jun 8, 2018",8500,43.67
Halbsteiv,165,https://static-cdn.jtvnw.net/jtv_user_pictures/9f428536-212a-4c0a-9507-6e9515998f9f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3941550,15780,931,250,16996,FALSE,FALSE,German,https://www.twitch.tv/Halbsteiv/about,1135,"Jun 14, 2018",2837.5,87.67
EtcKid,167,https://static-cdn.jtvnw.net/jtv_user_pictures/etckid-profile_image-c52906b151c9e885-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3903510,11865,5383,329,18104,TRUE,FALSE,English,https://www.twitch.tv/EtcKid/about,41,"Aug 15, 2016",102.5,65.92
MaryJoLilac,168,https://static-cdn.jtvnw.net/jtv_user_pictures/d2dc717b-effa-4d89-8dc1-337976d6523a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3886125,7530,3476,516,6546,FALSE,FALSE,English,https://www.twitch.tv/MaryJoLilac/about,31,"Jun 25, 2020",77.5,41.83
LionaStone,170,https://static-cdn.jtvnw.net/jtv_user_pictures/7baa2c75-a703-4485-8682-87b323b8e6db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3879375,20010,522,194,22068,TRUE,FALSE,English,https://www.twitch.tv/LionaStone/about,180,"Nov 13, 2019",450,111.17
SabrinaSoloShow,171,https://static-cdn.jtvnw.net/jtv_user_pictures/b0885d86-8585-4ecd-bce5-d2892b652fa6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3858540,7050,4381,547,12884,TRUE,FALSE,English,https://www.twitch.tv/SabrinaSoloShow/about,350,"Dec 21, 2019",875,39.17
dj_urban_o,172,https://static-cdn.jtvnw.net/jtv_user_pictures/81fe7902-e0c2-460b-a45c-af932b7d61fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3827745,24675,633,155,11625,FALSE,TRUE,German,https://www.twitch.tv/dj_urban_o/about,35,"Mar 16, 2020",87.5,137.08
HANAWINS,173,https://static-cdn.jtvnw.net/jtv_user_pictures/baa76f9b-5ed6-42c5-ae17-e7e6149366d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3820245,3945,2054,968,61540,TRUE,FALSE,English,https://www.twitch.tv/HANAWINS/about,3400,"Dec 10, 2015",8500,21.92
SuperStarO,174,https://static-cdn.jtvnw.net/jtv_user_pictures/2d66c88f-fa07-4799-bf2e-78757f4c92db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3777105,9945,15684,380,20311,TRUE,FALSE,English,https://www.twitch.tv/SuperStarO/about,431,"Aug 21, 2014",1077.5,55.25
upstv,175,https://static-cdn.jtvnw.net/jtv_user_pictures/8c81adf5-4bc8-4dee-93b2-bc92df34bb35-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3704895,53505,801,69,21154,FALSE,FALSE,Turkish,https://www.twitch.tv/upstv/about,1,"Dec 14, 2019",2.5,297.25
JustJoeSyracuse,178,https://static-cdn.jtvnw.net/jtv_user_pictures/9b728359-a352-4a84-b5d4-fb359e0c94fe-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3612930,9075,2748,398,26857,TRUE,TRUE,English,https://www.twitch.tv/JustJoeSyracuse/about,1600,"Oct 9, 2019",4000,50.42
MiaMetzMusic,180,https://static-cdn.jtvnw.net/jtv_user_pictures/5f7585e5-8b2d-41cf-a01a-84442fdf583e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3559650,11790,2820,302,27090,TRUE,FALSE,English,https://www.twitch.tv/MiaMetzMusic/about,780,"Jun 27, 2020",1950,65.50
ShintaLovesHouseMusic,182,https://static-cdn.jtvnw.net/jtv_user_pictures/df496f90-49b0-4cb1-8f70-d764f6ab5258-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3534180,16485,936,214,23159,TRUE,TRUE,English,https://www.twitch.tv/ShintaLovesHouseMusic/about,818,"Apr 13, 2020",2045,91.58
amorosoviolin,185,https://static-cdn.jtvnw.net/jtv_user_pictures/18e628cd-a71b-4af5-bc4c-1698313f16a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3502080,7560,3818,463,3492,FALSE,FALSE,English,https://www.twitch.tv/amorosoviolin/about,29,"Jun 12, 2021",72.5,42.00
LordAethelstan,188,https://static-cdn.jtvnw.net/jtv_user_pictures/0406baa2-329e-4898-b475-8a23cf75a8f5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3459420,3945,10038,877,29395,TRUE,TRUE,English,https://www.twitch.tv/LordAethelstan/about,1235,"Oct 28, 2020",3087.5,21.92
DJQM,189,https://static-cdn.jtvnw.net/jtv_user_pictures/7d257933-79b0-475b-8012-2ce3cefe10d7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3455040,3420,3420,1010,6157,TRUE,FALSE,English,https://www.twitch.tv/DJQM/about,80,"Aug 11, 2015",200,19.00
DJMiyuki,190,https://static-cdn.jtvnw.net/jtv_user_pictures/531945a2-f1cf-44ec-a5c2-f1df47800c8b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3427290,6195,1003,553,46503,TRUE,FALSE,English,https://www.twitch.tv/DJMiyuki/about,3400,"Jan 6, 2015",8500,34.42
BelenJuradoMusic,192,https://static-cdn.jtvnw.net/jtv_user_pictures/8a3db485-3cbf-4cfa-a1b8-b77e7feda5c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3418605,14805,1506,231,19956,TRUE,FALSE,Spanish,https://www.twitch.tv/BelenJuradoMusic/about,726,"May 1, 2020",1815,82.25
heybensena,194,https://static-cdn.jtvnw.net/jtv_user_pictures/db5a40ef-1ad7-4611-a478-2eac90eb4c58-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3364410,9060,4674,371,30158,FALSE,FALSE,Turkish,https://www.twitch.tv/heybensena/about,901,"Dec 14, 2020",2252.5,50.33
StringPlayerGamer,195,https://static-cdn.jtvnw.net/jtv_user_pictures/137275ef-5c45-4b6f-8860-319f85464361-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3326715,9165,4298,363,7498,TRUE,FALSE,English,https://www.twitch.tv/StringPlayerGamer/about,433,"Oct 5, 2014",1082.5,50.92
just_lina,198,https://static-cdn.jtvnw.net/jtv_user_pictures/e0ed024c-5fc1-4ee6-bf41-e70504a0037f-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,3195030,11970,1016,267,41472,TRUE,FALSE,English,https://www.twitch.tv/just_lina/about,390,"Jan 27, 2016",975,66.50
deadmau5,200,https://static-cdn.jtvnw.net/jtv_user_pictures/deadmau5-profile_image-ee72d3d05d3b99a8-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,3179445,2145,2112,1482,508005,TRUE,TRUE,English,https://www.twitch.tv/deadmau5/about,300,"Sep 13, 2014",750,11.92
koshkamoroshka,203,https://static-cdn.jtvnw.net/jtv_user_pictures/29ffe74c-1666-4584-ba56-99f6d43a1796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3127110,3135,3902,997,93284,TRUE,FALSE,Russian,https://www.twitch.tv/koshkamoroshka/about,43,"Jan 9, 2016",107.5,17.42
lewloh,204,https://static-cdn.jtvnw.net/jtv_user_pictures/59295582-e327-4097-8292-6246256e7049-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3111285,6765,6755,460,1760,TRUE,FALSE,English,https://www.twitch.tv/lewloh/about,22,"Apr 9, 2020",55,37.58
EndeBrothers,205,https://static-cdn.jtvnw.net/jtv_user_pictures/97913080-979c-4f15-84dd-e0baec4f6b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3097830,7890,4816,393,6270,FALSE,FALSE,English,https://www.twitch.tv/EndeBrothers/about,88,"Nov 13, 2020",220,43.83
LizzVega,206,https://static-cdn.jtvnw.net/jtv_user_pictures/48fc3500-272e-4eff-b99b-d2a07961c549-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3089730,16065,2806,192,49985,TRUE,FALSE,English,https://www.twitch.tv/LizzVega/about,379,"Dec 12, 2014",947.5,89.25
CaoinFitzMusic,207,https://static-cdn.jtvnw.net/jtv_user_pictures/805d3055-b790-4759-8edc-8d2a5c62488c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3087630,6660,4008,464,9278,TRUE,FALSE,English,https://www.twitch.tv/CaoinFitzMusic/about,65,"Mar 2, 2013",162.5,37.00
voiceunmuted,208,https://static-cdn.jtvnw.net/jtv_user_pictures/f90b5ed1-b8ef-42d4-9a64-09ab6d31064c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3073560,7050,3912,436,9780,TRUE,FALSE,English,https://www.twitch.tv/voiceunmuted/about,182,"Aug 28, 2019",455,39.17
pondelinp,211,https://static-cdn.jtvnw.net/jtv_user_pictures/a5626da5-6c7e-4e63-858f-ca6c8e5b38e7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,3053835,23580,422,130,40922,TRUE,TRUE,Japanese,https://www.twitch.tv/pondelinp/about,157,"Jun 2, 2012",392.5,131.00
claremeans,213,https://static-cdn.jtvnw.net/jtv_user_pictures/ce6ffa15-7016-4dbd-9b2e-1ad89e147dd9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2992440,7500,16737,399,6567,FALSE,FALSE,English,https://www.twitch.tv/claremeans/about,65,"Mar 7, 2016",162.5,41.67
CA_in_LA,216,https://static-cdn.jtvnw.net/jtv_user_pictures/7b92e5d8-15eb-4421-81b7-d92ede1233e0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2957625,13785,8083,215,18700,TRUE,TRUE,English,https://www.twitch.tv/CA_in_LA/about,3800,"Jul 16, 2018",9500,76.58
shykuroboo,217,https://static-cdn.jtvnw.net/jtv_user_pictures/cdc8ba3d-7597-49cc-a08a-f24b91035ed7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2956905,8940,14974,331,9512,TRUE,FALSE,English,https://www.twitch.tv/shykuroboo/about,514,"Aug 29, 2018",1285,49.67
FantasticPlastics,219,https://static-cdn.jtvnw.net/jtv_user_pictures/f082658e-9be0-4c63-9cba-7d93dcce1cdf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2924940,5145,12914,569,15836,TRUE,FALSE,English,https://www.twitch.tv/FantasticPlastics/about,2000,"Feb 19, 2019",5000,28.58
vlouue,221,https://static-cdn.jtvnw.net/jtv_user_pictures/97551a9b-daf5-4b5c-8835-c8a67ffe1d6d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2897370,13140,2659,221,21317,TRUE,TRUE,English,https://www.twitch.tv/vlouue/about,701,"Apr 2, 2018",1752.5,73.00
InsertScaryNameHere,224,https://static-cdn.jtvnw.net/jtv_user_pictures/b2d234c5-a5af-47dd-816b-e1b8231ca408-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2867820,13020,635,220,10702,TRUE,TRUE,German,https://www.twitch.tv/InsertScaryNameHere/about,2000,"Mar 15, 2020",5000,72.33
KevinCrownMusic,226,https://static-cdn.jtvnw.net/jtv_user_pictures/d69664c8-610e-4409-8cd7-70c8b8d6ad60-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2810175,14940,440,188,13000,TRUE,FALSE,English,https://www.twitch.tv/KevinCrownMusic/about,499,"May 4, 2020",1247.5,83.00
nickmira_,227,https://static-cdn.jtvnw.net/jtv_user_pictures/0f28fe98-62ec-4e7e-8a7c-827b59f1d350-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,2778150,1965,14617,1414,120581,TRUE,FALSE,English,https://www.twitch.tv/nickmira_/about,20,"Oct 7, 2018",50,10.92
TeamShellinz,228,https://static-cdn.jtvnw.net/jtv_user_pictures/54f190ad-c43a-4f32-8396-2261ced11ebd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2768475,9990,650,277,19551,TRUE,TRUE,English,https://www.twitch.tv/TeamShellinz/about,160,"Apr 7, 2020",400,55.50
JOVIAN,236,https://static-cdn.jtvnw.net/jtv_user_pictures/8336c952-0808-4be2-9192-e2590a713351-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2691450,17370,7427,155,80754,TRUE,FALSE,English,https://www.twitch.tv/JOVIAN/about,368,"Jun 27, 2012",920,96.50
DJEpik,237,https://static-cdn.jtvnw.net/jtv_user_pictures/c52eea5f-ba61-4b12-becf-b64ff5a1ccb4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2688615,10560,677,255,21471,TRUE,FALSE,English,https://www.twitch.tv/DJEpik/about,522,"Mar 20, 2020",1305,58.67
BlueEyes_und_Sushi,238,https://static-cdn.jtvnw.net/jtv_user_pictures/2c7e4456-dda1-4d58-a3f9-4e49c65921b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2676885,10515,508,255,11094,TRUE,TRUE,German,https://www.twitch.tv/BlueEyes_und_Sushi/about,300,"Sep 19, 2015",750,58.42
reynlord,241,https://static-cdn.jtvnw.net/jtv_user_pictures/43192b28-64b2-4213-8a35-8c0d6a4c954c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2625135,435,16799,6035,8937,TRUE,FALSE,English,https://www.twitch.tv/reynlord/about,350,"Jul 22, 2018",875,2.42
JenniferJess,243,https://static-cdn.jtvnw.net/jtv_user_pictures/dd96fc3a-79ff-44e2-ac97-f3d675cb8d78-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2612790,6420,3927,407,15867,TRUE,FALSE,English,https://www.twitch.tv/JenniferJess/about,65,"Apr 28, 2016",162.5,35.67
TipStevens,245,https://static-cdn.jtvnw.net/jtv_user_pictures/e3104884-0563-4a83-b5af-532bc4d42445-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2607060,7050,2932,370,21192,TRUE,FALSE,French,https://www.twitch.tv/TipStevens/about,348,"Apr 30, 2016",870,39.17
djicyice,246,https://static-cdn.jtvnw.net/jtv_user_pictures/26264495-8369-481a-bac8-a8260a4aa60c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2600295,13815,1781,188,19411,TRUE,FALSE,English,https://www.twitch.tv/djicyice/about,596,"Apr 8, 2020",1490,76.75
TheTangerineClub,249,https://static-cdn.jtvnw.net/jtv_user_pictures/e8fa8ff9-7fc1-4200-a3ed-323b0ea176e7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2550720,14565,3168,175,30264,TRUE,FALSE,English,https://www.twitch.tv/TheTangerineClub/about,578,"Oct 4, 2013",1445,80.92
dj_nyx_86,250,https://static-cdn.jtvnw.net/jtv_user_pictures/192a9d43-700a-4b43-b131-e2c71b5867a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2549055,21300,410,120,3365,FALSE,TRUE,English,https://www.twitch.tv/dj_nyx_86/about,844,"Aug 11, 2020",2110,118.33
ARIatHOME,258,https://static-cdn.jtvnw.net/jtv_user_pictures/352f24ff-f47f-4042-96e8-35e3dfa33c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2479590,5070,10676,489,43315,FALSE,FALSE,English,https://www.twitch.tv/ARIatHOME/about,606,"Nov 4, 2020",1515,28.17
TranceStation,261,https://static-cdn.jtvnw.net/jtv_user_pictures/929df2d5-c2f9-4dd5-9caf-61cccd870a54-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2454990,123975,39,20,14737,FALSE,TRUE,English,https://www.twitch.tv/TranceStation/about,65,"Aug 6, 2015",162.5,688.75
JulieClark,263,https://static-cdn.jtvnw.net/jtv_user_pictures/4d4f48ab-5b68-445b-8a4b-52e901be8e45-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2447325,11460,982,214,28873,TRUE,FALSE,English,https://www.twitch.tv/JulieClark/about,228,"Jan 23, 2018",570,63.67
TheSongery,268,https://static-cdn.jtvnw.net/jtv_user_pictures/ddba38a5-41a9-45d7-a83b-81298d8b0adf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2407590,9570,2802,252,7567,FALSE,FALSE,English,https://www.twitch.tv/TheSongery/about,78,"Mar 11, 2016",195,53.17
bubbles,272,https://static-cdn.jtvnw.net/jtv_user_pictures/5046b1fd-66f6-42a5-a21b-5a4133872ce8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2361000,5355,5530,441,6434,TRUE,FALSE,English,https://www.twitch.tv/bubbles/about,91,"Jun 20, 2021",227.5,29.75
OfficialDJJohnRobinson,274,https://static-cdn.jtvnw.net/jtv_user_pictures/bdf28584-d2e9-4bec-9ef9-f4da9df1c1c6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2330400,16425,287,142,10727,TRUE,FALSE,English,https://www.twitch.tv/OfficialDJJohnRobinson/about,746,"Mar 14, 2020",1865,91.25
GregorleDahlDJ,275,https://static-cdn.jtvnw.net/jtv_user_pictures/5fa2ad15-a4cb-4e65-8d09-de2c0d8e9ac7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2330160,14235,848,164,6835,TRUE,FALSE,German,https://www.twitch.tv/GregorleDahlDJ/about,497,"Jan 2, 2021",1242.5,79.08
G4non_Games,276,https://static-cdn.jtvnw.net/jtv_user_pictures/g4non_games-profile_image-69aed4e73e1fda73-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,2328840,120015,45,19,38505,FALSE,FALSE,Portuguese,https://www.twitch.tv/G4non_Games/about,175,"Feb 14, 2013",437.5,666.75
RobKovacs,277,https://static-cdn.jtvnw.net/jtv_user_pictures/7db2440a-7bd5-4647-b6bf-9abe11f91e41-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2323905,7815,3288,297,2899,FALSE,FALSE,English,https://www.twitch.tv/RobKovacs/about,252,"Oct 22, 2017",630,43.42
iku_soul_aka_barsoulon,278,https://static-cdn.jtvnw.net/jtv_user_pictures/9888f8b3-cbf4-4504-bfd5-dfe431ca7ddc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2316765,22065,290,105,9730,TRUE,FALSE,English,https://www.twitch.tv/iku_soul_aka_barsoulon/about,205,"May 12, 2020",512.5,122.58
Wallsterix,280,https://static-cdn.jtvnw.net/jtv_user_pictures/f275e769-0756-4b34-8bd0-0e58b8e33d54-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2310390,19530,191,118,21380,FALSE,FALSE,Spanish,https://www.twitch.tv/Wallsterix/about,34,"Jan 20, 2018",85,108.50
FreshOMusic,281,https://static-cdn.jtvnw.net/jtv_user_pictures/450951a7-8415-4ad3-8285-e131017185c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,2302320,13755,858,167,8937,TRUE,TRUE,German,https://www.twitch.tv/FreshOMusic/about,94,"Jan 2, 2017",235,76.42
